SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1391.30,1399.95,1367.90,1377.75,1371.40,1396.45,816,4371,6037889.00,
500003,AEGIS LOGIS ,A ,Q,285.50,289.25,280.55,281.15,282.65,286.60,373,6461,1834475.00,
500008,AMAR RAJA BA,A ,Q,875.00,875.00,855.25,859.05,858.25,876.75,1146,25228,21741800.00,
500009,A.SARABHAI  ,X ,Q,18.45,18.55,17.85,18.15,18.50,18.15,104,21247,385838.00,
500010,HDFC        ,A ,Q,2490.00,2503.00,2447.55,2466.40,2466.40,2509.30,4519,50008,123575061.00,
500012,ANDHRA PETRO,X ,Q,63.00,64.90,59.70,60.30,60.85,62.05,523,93651,5773615.00,
500013,ANSAL INFRAS,B ,Q,6.91,6.91,6.65,6.72,6.72,6.80,24,10668,71828.00,
500014,UTIQUE      ,X ,Q,2.01,2.01,1.91,1.91,1.91,1.99,9,7252,14471.00,
500020,BOM DYEING  ,A ,Q,74.85,75.25,71.80,72.40,72.40,75.15,1627,281341,20806965.00,
500023,ASIANHOTNR  ,B ,Q,66.90,66.90,63.40,63.55,64.70,66.90,24,1139,73164.00,
500027,ATUL LTD.   ,A ,Q,6999.00,7071.95,6846.60,6948.30,6948.30,7022.95,315,679,4743961.00,
500028,ATV PROJECTS,XT,Q,4.27,4.45,4.26,4.28,4.45,4.46,22,11048,47306.00,
500031,BAJAJ ELECT.,A ,Q,940.15,953.70,938.00,942.15,942.15,953.80,735,6091,5767040.00,
500032,BAJAJHIND   ,A ,Q,6.65,6.66,6.26,6.32,6.32,6.59,842,692356,4449338.00,
500033,FORCE MOTR  ,A ,Q,1232.20,1241.80,1207.20,1216.60,1216.60,1235.90,491,1861,2277561.00,
500034,BAJFINANCE  ,A ,Q,5368.05,5369.30,5260.00,5269.85,5269.85,5377.25,6233,65025,344448339.00,
500038,BALRAM.CHINI,A ,Q,214.00,219.00,208.00,215.80,218.45,208.25,1978,135789,29175599.00,
500039,BANCO PROD. ,B ,Q,148.75,148.75,142.05,143.15,143.15,146.25,2188,68404,10012814.00,
500040,CENTURY TEXT,A ,Q,485.00,490.65,480.35,484.35,484.35,488.15,1165,57773,28119066.00,
500041,BANNARI AMAN,A ,Q,1699.95,1699.95,1651.50,1673.35,1673.35,1669.20,15,61,101206.00,
500042,BASF INDIA  ,A ,Q,2075.50,2088.95,1994.45,2002.40,2001.00,2081.60,473,1845,3752618.00,
500043,BATA INDIA  ,A ,Q,1489.00,1497.35,1449.75,1453.55,1450.50,1487.65,2157,21955,32285344.00,
